model,dataset,dataset_label,code_id,imagenet_code_total,ood_code_total,l1_spatial_distance,imagenet_effective_support,ood_effective_support,effective_support_ratio,imagenet_zero_fraction,ood_zero_fraction,imagenet_max_position_mass,ood_max_position_mass,zero_fraction_delta,max_position_mass_delta
LlamaGen,imagenet_v2,ImageNet-V2,107,1087,256,0.8926805427782889,218.9538072816707,134.54285547816178,0.6144805479681869,0.0078125,0.40234375,0.012879484820607176,0.015625,0.39453125,0.002745515179392824
LlamaGen,imagenet_v2,ImageNet-V2,218,2578,492,0.5109588954694823,149.2745007669049,122.95482943310869,0.8236827375166044,0.05078125,0.3046875,0.027152831652443754,0.032520325203252036,0.25390625,0.005367493550808282
LlamaGen,imagenet_v2,ImageNet-V2,307,5101,1097,0.45848732539797277,166.39636211482144,180.40910043286453,1.084213008865985,0.00390625,0.125,0.019800039207998433,0.01731996353691887,0.12109375,-0.0024800756710795617
LlamaGen,imagenet_v2,ImageNet-V2,349,1152,267,0.8325140449438202,222.9476481301348,139.3995616456619,0.6252569283184104,0.01171875,0.37890625,0.013888888888888888,0.0299625468164794,0.3671875,0.016073657927590513
LlamaGen,imagenet_v2,ImageNet-V2,432,1159,256,0.8966916522864539,176.69742618983696,117.37453097758232,0.6642684814858572,0.03515625,0.44921875,0.061259706643658325,0.04296875,0.4140625,-0.018290956643658325
LlamaGen,imagenet_v2,ImageNet-V2,762,1071,263,0.8390580566827491,217.66615330595565,143.71486165869072,0.6602536015633189,0.03125,0.36328125,0.011204481792717087,0.019011406844106463,0.33203125,0.007806925051389376
LlamaGen,imagenet_v2,ImageNet-V2,818,796,267,1.1508761033632582,201.65651021874913,86.10089819330506,0.4269681058147151,0.06640625,0.50390625,0.016331658291457288,0.04868913857677903,0.4375,0.03235748028532174
LlamaGen,imagenet_v2,ImageNet-V2,922,1393,418,0.7874196684035351,182.8839835932209,132.7583609948067,0.7259157329495515,0.0703125,0.3359375,0.014357501794687724,0.03588516746411483,0.265625,0.02152766566942711
LlamaGen,imagenet_v2,ImageNet-V2,1085,4491,774,0.4736553209778731,163.14473361564924,134.74773233078844,0.8259398225396538,0.01953125,0.26953125,0.027833444667112003,0.028423772609819122,0.25,0.0005903279427071188
LlamaGen,imagenet_v2,ImageNet-V2,1161,1135,264,0.8434120945134161,218.08333153604474,144.24319036414008,0.6614131825122985,0.03125,0.3671875,0.014977973568281937,0.01893939393939394,0.3359375,0.0039614203711120025
LlamaGen,imagenet_v2,ImageNet-V2,1190,3692,902,0.4299510177215433,159.45173746213933,157.2066926456518,0.9859202235596799,0.0,0.17578125,0.07340195016251354,0.038802660753880266,0.17578125,-0.03459928940863327
LlamaGen,imagenet_v2,ImageNet-V2,1362,1042,262,0.839445575888998,221.76476815169184,139.94514113572438,0.6310521833657496,0.02734375,0.38671875,0.012476007677543186,0.019083969465648856,0.359375,0.00660796178810567
LlamaGen,imagenet_v2,ImageNet-V2,1388,4529,552,0.5437238600836477,126.96612361559697,124.30383701211251,0.9790315201593079,0.1015625,0.35546875,0.0311327003753588,0.03260869565217391,0.25390625,0.0014759952768151133
LlamaGen,imagenet_v2,ImageNet-V2,1509,1486,321,0.8253271447319321,108.27561796388602,99.54882648888726,0.9194020626332562,0.0859375,0.43359375,0.08748317631224764,0.07476635514018691,0.34765625,-0.01271682117206073
LlamaGen,imagenet_v2,ImageNet-V2,1876,1073,260,0.8591583626066385,216.0241860471083,145.37198951082024,0.6729431188742868,0.0234375,0.37109375,0.0130475302889096,0.015384615384615385,0.34765625,0.002337085095705786
LlamaGen,imagenet_v2,ImageNet-V2,2115,1041,260,0.9026971107662749,216.58182480853446,142.20401039069975,0.6565833052538588,0.0234375,0.3828125,0.011527377521613832,0.015384615384615385,0.359375,0.0038572378630015534
LlamaGen,imagenet_v2,ImageNet-V2,2246,3014,524,0.5457812650379653,190.3956835558923,139.17145359799295,0.7309590795273359,0.015625,0.30078125,0.013603185136031851,0.022900763358778626,0.28515625,0.009297578222746775
LlamaGen,imagenet_v2,ImageNet-V2,2300,1528,311,0.8331804178380835,95.08418614792846,99.6513995678833,1.0480333650103428,0.14453125,0.4765625,0.125,0.07395498392282958,0.33203125,-0.05104501607717042
LlamaGen,imagenet_v2,ImageNet-V2,2356,1213,282,0.8640145469003058,207.514597910932,135.2666509890237,0.6518416166899349,0.0234375,0.34765625,0.031327287716405604,0.0673758865248227,0.32421875,0.03604859880841709
LlamaGen,imagenet_v2,ImageNet-V2,2400,743,282,1.268749463073795,172.77086821254343,61.39894676116252,0.35537789093951466,0.1484375,0.59765625,0.018842530282637954,0.06382978723404255,0.44921875,0.0449872569514046
LlamaGen,imagenet_v2,ImageNet-V2,2580,2794,412,0.669256590057752,121.35359754778074,132.18602843758455,1.0892633684431048,0.125,0.36328125,0.03507516105941303,0.019417475728155338,0.23828125,-0.015657685331257692
LlamaGen,imagenet_v2,ImageNet-V2,2617,2114,317,0.7472431051514763,147.83745002703677,110.47421335401907,0.7472681200454645,0.0625,0.44921875,0.04068117313150426,0.028391167192429023,0.38671875,-0.012290005939075237
LlamaGen,imagenet_v2,ImageNet-V2,3049,934,264,1.1506229316721823,153.96973073745536,78.17376269997129,0.5077216302551758,0.125,0.54296875,0.03854389721627409,0.05303030303030303,0.41796875,0.014486405814028942
LlamaGen,imagenet_v2,ImageNet-V2,3305,1549,339,0.7382134443955659,183.00234087349637,123.3910002295773,0.6742591359247887,0.04296875,0.3984375,0.030987734021949646,0.02654867256637168,0.35546875,-0.004439061455577965
LlamaGen,imagenet_v2,ImageNet-V2,4165,903,285,0.9694935011948475,190.16452058541606,119.3664920765203,0.6277011700660773,0.0703125,0.42578125,0.016611295681063124,0.028070175438596492,0.35546875,0.011458879757533368
LlamaGen,imagenet_v2,ImageNet-V2,4893,901,262,1.0744804331065567,204.7669680573179,78.92931159018643,0.3854591994939961,0.0546875,0.51171875,0.01553829078801332,0.09923664122137404,0.45703125,0.08369835043336073
LlamaGen,imagenet_v2,ImageNet-V2,5001,4198,726,0.5583558745670574,144.34019159596767,151.24057323425552,1.0478063771565662,0.02734375,0.203125,0.0435921867555979,0.026170798898071626,0.17578125,-0.017421387857526276
LlamaGen,imagenet_v2,ImageNet-V2,5195,1567,273,0.8803878529468829,176.5480489045677,128.97415309618762,0.7305328713426,0.03515625,0.41796875,0.029355456285896617,0.02197802197802198,0.3828125,-0.007377434307874638
LlamaGen,imagenet_v2,ImageNet-V2,5267,1297,288,0.733616037008481,219.23963020988248,161.27200874718426,0.7355969748388799,0.01171875,0.2890625,0.01233616037008481,0.020833333333333332,0.27734375,0.008497172963248522
LlamaGen,imagenet_v2,ImageNet-V2,5602,1359,262,0.7962916154109724,209.7226048274624,131.35674414350132,0.6263356506160496,0.015625,0.41015625,0.021339220014716703,0.022900763358778626,0.39453125,0.0015615433440619234
LlamaGen,imagenet_v2,ImageNet-V2,5604,943,384,1.1554767585719337,197.98364114555773,74.2372232058995,0.3749664506438703,0.05859375,0.48828125,0.021208907741251327,0.049479166666666664,0.4296875,0.028270258925415338
LlamaGen,imagenet_v2,ImageNet-V2,5689,1153,285,0.7943579677728579,219.92295681288982,147.75497874434438,0.6718488187208856,0.01171875,0.328125,0.01647875108412836,0.02456140350877193,0.31640625,0.00808265242464357
LlamaGen,imagenet_v2,ImageNet-V2,5718,990,307,1.037153291876419,213.03578468033274,92.63405627473439,0.4348286200543015,0.03125,0.4375,0.01717171717171717,0.06840390879478828,0.40625,0.051232191623071105
LlamaGen,imagenet_v2,ImageNet-V2,5740,1153,269,0.8114986925976198,199.14801613947114,143.28003759194914,0.7194650510181559,0.015625,0.35546875,0.0199479618386817,0.026022304832713755,0.33984375,0.0060743429940320545
LlamaGen,imagenet_v2,ImageNet-V2,5830,1170,266,0.8462823725981621,218.22509978740115,142.52273932490567,0.65309966389638,0.0234375,0.3671875,0.01282051282051282,0.018796992481203006,0.34375,0.005976479660690186
LlamaGen,imagenet_v2,ImageNet-V2,6032,1294,260,0.8905362025918441,227.210438255316,135.68232206666593,0.5971658833481934,0.0078125,0.39453125,0.012364760432766615,0.019230769230769232,0.38671875,0.006866008798002617
LlamaGen,imagenet_v2,ImageNet-V2,6094,1280,275,0.7432670454545455,200.49704234582526,136.20264800558562,0.6793249736355605,0.03125,0.37890625,0.0359375,0.04,0.34765625,0.004062500000000004
LlamaGen,imagenet_v2,ImageNet-V2,6205,1736,508,0.5163104611923509,98.13149944177727,68.60906395069176,0.6991543422955484,0.08984375,0.4296875,0.09850230414746544,0.0984251968503937,0.33984375,-7.710729707173514e-05
LlamaGen,imagenet_v2,ImageNet-V2,6807,1283,275,0.7966895769857579,199.44686582836817,127.15673235015166,0.637546906651193,0.01171875,0.40234375,0.04598597038191738,0.03636363636363636,0.390625,-0.009622334018281019
LlamaGen,imagenet_v2,ImageNet-V2,7655,1253,313,0.7546259584027089,178.22776196141203,127.3618755974672,0.7146017780610533,0.0390625,0.3984375,0.023942537909018357,0.022364217252396165,0.359375,-0.0015783206566221918
LlamaGen,imagenet_v2,ImageNet-V2,7785,1034,258,0.8697314560748504,215.76372022246508,138.35932140822823,0.6412538737539918,0.01953125,0.3828125,0.017408123791102514,0.027131782945736434,0.36328125,0.00972365915463392
LlamaGen,imagenet_v2,ImageNet-V2,7855,2868,522,0.4764504079898684,110.90915917038956,104.06810100364926,0.9383183659680406,0.09765625,0.3671875,0.061366806136680614,0.04789272030651341,0.26953125,-0.013474085830167203
LlamaGen,imagenet_v2,ImageNet-V2,8308,1802,426,0.6271748135874068,159.26503846865555,126.78780860320697,0.7960806076605424,0.03125,0.34765625,0.03440621531631521,0.035211267605633804,0.31640625,0.0008050522893185974
LlamaGen,imagenet_v2,ImageNet-V2,8842,1145,264,0.8060606060606059,211.7430156724147,144.77813912317148,0.68374457907578,0.0234375,0.36328125,0.01222707423580786,0.01893939393939394,0.33984375,0.00671231970358608
LlamaGen,imagenet_v2,ImageNet-V2,8854,1387,285,0.8368180725787071,207.84059075307718,143.05190490978234,0.6882770318899528,0.01953125,0.359375,0.015861571737563085,0.021052631578947368,0.33984375,0.005191059841384283
LlamaGen,imagenet_v2,ImageNet-V2,8989,1370,260,0.83307130825379,203.9536229252494,136.3924829545891,0.6687426337338367,0.02734375,0.37890625,0.021167883211678833,0.026923076923076925,0.3515625,0.005755193711398092
LlamaGen,imagenet_v2,ImageNet-V2,9160,1081,263,0.905618301600757,219.85524132391444,134.54398465756452,0.6119662367263732,0.01171875,0.390625,0.011100832562442183,0.022813688212927757,0.37890625,0.011712855650485575
LlamaGen,imagenet_v2,ImageNet-V2,9495,1247,265,0.8438304761616557,219.29967186214893,141.75109191007476,0.6463807752488524,0.0078125,0.3828125,0.0136327185244587,0.018867924528301886,0.375,0.005235206003843185
LlamaGen,imagenet_v2,ImageNet-V2,10366,990,325,1.0786013986013985,210.74626710646916,84.97361129747749,0.40320339934917454,0.02734375,0.45703125,0.01717171717171717,0.06769230769230769,0.4296875,0.05052059052059052
LlamaGen,imagenet_v2,ImageNet-V2,10391,1192,256,0.9358745805369129,213.6535564630368,130.54688353150377,0.611021345455998,0.01953125,0.41015625,0.015939597315436243,0.02734375,0.390625,0.011404152684563757
LlamaGen,imagenet_v2,ImageNet-V2,10432,966,447,1.2032042463907069,211.76208947026151,57.82936708846921,0.2730864964221577,0.0390625,0.44921875,0.013457556935817806,0.06487695749440715,0.41015625,0.051419400558589345
LlamaGen,imagenet_v2,ImageNet-V2,10578,4275,959,0.35705419265926375,192.17787997084395,183.90402982303488,0.9569469173608101,0.0078125,0.078125,0.016608187134502923,0.01564129301355579,0.0703125,-0.0009668941209471336
LlamaGen,imagenet_v2,ImageNet-V2,11873,1021,259,0.8572941207613098,221.35729152534182,146.156798688787,0.6602755106083976,0.02734375,0.34765625,0.009794319294809012,0.019305019305019305,0.3203125,0.009510700010210293
LlamaGen,imagenet_v2,ImageNet-V2,12002,883,347,1.2654266794168425,199.16943554432942,61.11283121273167,0.30683840141290003,0.0703125,0.5234375,0.01812004530011325,0.07204610951008646,0.453125,0.0539260642099732
LlamaGen,imagenet_v2,ImageNet-V2,12015,1101,270,0.7987889797154102,226.02616698981487,150.67987663447443,0.6666479312603851,0.0078125,0.33984375,0.012715712988192553,0.018518518518518517,0.33203125,0.005802805530325965
LlamaGen,imagenet_v2,ImageNet-V2,12029,1093,275,0.8792347999667305,221.50375710969814,143.89214013566442,0.6496148959875334,0.0234375,0.37109375,0.011893870082342177,0.01818181818181818,0.34765625,0.006287948099476004
LlamaGen,imagenet_v2,ImageNet-V2,12406,730,266,1.0515810073128025,184.98096851097074,90.00740532969863,0.4865765708452355,0.13671875,0.48828125,0.01780821917808219,0.05639097744360902,0.3515625,0.03858275826552683
LlamaGen,imagenet_v2,ImageNet-V2,13977,1599,317,0.7470994292568501,210.10202148946016,153.9380561548568,0.7326824133511689,0.0078125,0.30859375,0.013758599124452783,0.01892744479495268,0.30078125,0.005168845670499899
LlamaGen,imagenet_v2,ImageNet-V2,14083,1079,257,0.8283213668802717,217.65598791936293,143.06209273918566,0.6572853524810318,0.02734375,0.375,0.016682113067655237,0.019455252918287938,0.34765625,0.0027731398506327005
LlamaGen,imagenet_v2,ImageNet-V2,14233,1363,279,0.8117293446619175,215.77241885966137,139.46297269566884,0.6463429081099364,0.00390625,0.3671875,0.016874541452677916,0.021505376344086023,0.36328125,0.004630834891408107
LlamaGen,imagenet_v2,ImageNet-V2,14614,1168,289,0.8318481300658862,215.2371229570454,144.58693484107138,0.6717564928143294,0.02734375,0.34765625,0.012842465753424657,0.02422145328719723,0.3203125,0.011378987533772575
LlamaGen,imagenet_v2,ImageNet-V2,14632,1275,270,0.8210021786492374,207.71721192023,138.00076573355784,0.66436846738803,0.01171875,0.375,0.03294117647058824,0.022222222222222223,0.36328125,-0.010718954248366015
LlamaGen,imagenet_v2,ImageNet-V2,14711,1243,268,0.7082587865179333,150.21058123101147,103.33565016515996,0.6879385547828901,0.1015625,0.48046875,0.028962188254223652,0.033582089552238806,0.37890625,0.004619901298015153
LlamaGen,imagenet_v2,ImageNet-V2,16069,1079,264,0.7680863313393433,219.67912030673565,147.26636510279573,0.6703703333169272,0.0234375,0.34765625,0.012048192771084338,0.01893939393939394,0.32421875,0.006891201168309602
LlamaGen,imagenet_sketch,ImageNet-Sketch,0,898,1105,0.6674661641254069,215.1137961561562,192.01909448501874,0.8926396071111474,0.0390625,0.05078125,0.013363028953229399,0.019004524886877826,0.01171875,0.0056414959336484275
LlamaGen,imagenet_sketch,ImageNet-Sketch,1,627,586,0.8299992923668154,204.84074809006154,157.5076357068017,0.7689272626438121,0.0859375,0.20703125,0.014354066985645933,0.032423208191126277,0.12109375,0.018069141205480345
