model,dataset,dataset_label,eligible_codes,median_l1_distance,q25_l1_distance,q75_l1_distance,median_effective_support_ratio,median_zero_fraction_delta,median_max_position_mass_delta,fraction_more_spatially_concentrated
LlamaGen,bloodmnist,BloodMNIST,4200,0.966906495138297,0.8627899977805358,1.0709044807747565,0.6346828038907288,0.26953125,0.012808253943218821,0.9964285714285714
LlamaGen,imagenet_sketch,ImageNet-Sketch,10637,0.7530630581073401,0.6665783563687349,0.8628048780487806,0.8533917733366886,0.0703125,0.006788519963327161,0.8641534267180596
LlamaGen,imagenet_v2,ImageNet-V2,64,0.8321810875048532,0.746141333306274,0.8910722876384553,0.6655081993242076,0.34765625,0.005561343631103187,0.9375
LlamaGen,objectnet,ObjectNet,16369,0.7517519379844961,0.7022935852525797,0.8119086306549594,0.8837248758854375,0.078125,0.003222411775856096,0.9616347974830473
LlamaGen,organamnist,OrganAMNIST,12750,0.7381187056375491,0.653484464452108,0.8462841971120498,0.9116429749683588,0.03515625,0.004648711896819803,0.7165490196078431
LlamaGen,rvlcdip,RVL-CDIP,6432,0.7797935885128222,0.6843513290377093,0.8908958393004077,0.8408869705657598,0.0859375,0.006270325902384952,0.8731343283582089
VQGAN,bloodmnist,BloodMNIST,772,0.6956627240798754,0.524863104309343,0.9088550929601472,0.705449731996056,0.0390625,0.012085817380279668,0.9987046632124352
VQGAN,imagenet_sketch,ImageNet-Sketch,969,0.3463904794891287,0.2857438182598019,0.4259560499354659,0.9135145585448622,0.0,0.003956882834752153,0.9958720330237358
VQGAN,imagenet_v2,ImageNet-V2,968,0.27460994044194265,0.24135881213340782,0.32764617660048045,0.9601371591171424,0.0,0.0020205749023845306,0.996900826446281
VQGAN,objectnet,ObjectNet,969,0.30487118646881983,0.2513813836313761,0.3673182136094053,0.9397694198396076,0.0,0.003105839356919116,0.9969040247678018
VQGAN,organamnist,OrganAMNIST,969,0.30052517828509206,0.22826606782691866,0.4044216864330106,0.9650751662700968,0.0,0.00288344642615594,0.9721362229102167
VQGAN,rvlcdip,RVL-CDIP,925,0.4643233689172255,0.36521808579436166,0.5720471536987723,0.840100726904959,0.0234375,0.0064374838115233675,0.9967567567567568
