model,dataset,dataset_label,mean_entropy_delta,median_entropy_delta,mean_absolute_entropy_delta,border_entropy_delta,interior_entropy_delta
LlamaGen,imagenet_v2,ImageNet-V2,-0.6824976272801231,-0.6840263275993994,0.6824976272801231,-0.6716515458359604,-0.6858178562936422
LlamaGen,imagenet_sketch,ImageNet-Sketch,-1.1657046002051636,-0.9690135830130053,1.1657046002051636,-2.2115123425106535,-0.8455593729687892
LlamaGen,objectnet,ObjectNet,-0.29787441895111694,-0.08019862987804682,0.29787441895111694,-0.923971079519615,-0.10621217591994403
LlamaGen,organamnist,OrganAMNIST,-0.5435005875618947,-0.536825507770109,0.5435005875618947,-0.6130477186103193,-0.5222106494858465
LlamaGen,bloodmnist,BloodMNIST,-1.551854005171913,-1.539348873618628,1.551854005171913,-2.006521883399245,-1.4126699608166071
LlamaGen,rvlcdip,RVL-CDIP,-1.6678508742748304,-1.484562037502121,1.6678508742748304,-2.4467912122685513,-1.4293997503992009
VQGAN,imagenet_v2,ImageNet-V2,-0.03903547694308992,-0.03964274505261001,0.03903547694308992,-0.033937929133391456,-0.04059595076238537
VQGAN,imagenet_sketch,ImageNet-Sketch,-0.9040521778175343,-0.7642770196537283,0.9040521778175343,-1.7977400015637104,-0.630474272589113
VQGAN,objectnet,ObjectNet,-0.13084724015409788,-0.06288775417336812,0.1318382463332464,-0.350470081832938,-0.06361575800751419
VQGAN,organamnist,OrganAMNIST,-0.2488465949062864,-0.26095540937073913,0.2488465949062864,-0.2149954266595823,-0.2592091974307877
VQGAN,bloodmnist,BloodMNIST,-1.0034392616015655,-1.0708530488525563,1.0034392616015655,-1.2587943174566838,-0.9252693465438759
VQGAN,rvlcdip,RVL-CDIP,-1.2540985850361717,-1.0882003437324066,1.2540985850361717,-2.0245932705214993,-1.018232864989643
