model,dataset,dataset_key,psnr_mean,psnr_std,ssim_mean,ssim_std,lpips_mean,lpips_std,fid
LlamaGen,BloodMNIST,bloodmnist,27.101034,2.457337,0.802003,0.076603,0.157412,0.029339,19.601578412845527
VQGAN,BloodMNIST,bloodmnist,26.37967,2.887773,0.766061,0.090811,0.200647,0.039598,29.01583596198168
LlamaGen,ImageNet,imagenet,20.793682,3.184499,0.55842,0.167186,0.228152,0.058472,2.1900201980936918
VQGAN,ImageNet,imagenet,19.649455,3.406491,0.488608,0.175846,0.285628,0.06572,5.055368242313705
LlamaGen,ImageNet-Sketch,imagenet_sketch,20.258672,5.782762,0.752088,0.150456,0.127749,0.064468,3.688819835465324
VQGAN,ImageNet-Sketch,imagenet_sketch,18.226843,4.386636,0.695854,0.17025,0.169755,0.07718,5.976393306687157
LlamaGen,ImageNet-V2,imagenet_v2,20.953198,3.132404,0.571562,0.16231,0.230828,0.058943,4.340310181774612
VQGAN,ImageNet-V2,imagenet_v2,19.831684,3.339825,0.501436,0.171765,0.288779,0.066414,7.479044119147147
LlamaGen,ObjectNet,objectnet,23.878325,3.198101,0.683478,0.158483,0.207518,0.052531,2.932944716815598
VQGAN,ObjectNet,objectnet,22.792442,3.608505,0.610994,0.175466,0.268003,0.060494,5.796088337355002
LlamaGen,OrganAMNIST,organamnist,26.791059,3.038687,0.80523,0.128617,0.182356,0.055278,57.15800646950419
VQGAN,OrganAMNIST,organamnist,26.580238,3.673693,0.732107,0.142772,0.23902,0.058537,76.11825419008682
LlamaGen,RVL-CDIP,rvlcdip,20.494851,4.120761,0.763508,0.14395,0.093503,0.053298,5.084559135103149
VQGAN,RVL-CDIP,rvlcdip,18.226271,4.157672,0.698772,0.174751,0.127864,0.066208,8.017577417357046
